input,output
-1.147,-0.008203047
-1.146788224,-0.008552113
-1.145623453,-0.007330383
-1.145146956,-0.008028515
-1.142605638,-0.005585054
-1.142182085,-0.006981317
-1.137893612,-0.003316126
-1.137893612,-0.005235988
-1.132334479,-0.00296706
-1.131540318,-0.000523599
-1.125292912,-0.000174533
-1.1235987,0.002617994
-1.116610076,0.003316126
-1.114068759,0.006108652
-1.105915364,0.007330383
-1.103003438,0.009773844
-1.093685273,0.011519173
-1.090455682,0.013439035
-1.080025691,0.016057029
-1.076478435,0.017104227
-1.064989561,0.020420352
-1.061071696,0.020420352
-1.048576885,0.024783675
-1.044341355,0.023387412
-1.030893549,0.028972466
-1.026340355,0.026179939
-1.011992499,0.032986723
-1.00712164,0.028448867
-0.991926678,0.036477381
-0.986791099,0.030194196
-0.970801975,0.039444441
-0.965454619,0.031590459
-0.948724278,0.041887902
-0.943165146,0.032288591
-0.925799475,0.043807764
-0.920187398,0.032637657
-0.902715839,0.045204028
-0.896997875,0.032463124
-0.879367483,0.046076692
-0.873649519,0.031764992
-0.855807351,0.046425758
-0.850301163,0.030717795
-0.831929554,0.046076692
-0.826899862,0.029321531
-0.807628204,0.045378561
-0.803604451,0.027576202
-0.782797412,0.044331363
-0.780467871,0.025481807
-0.757966621,0.042586034
-0.75743718,0.023212879
-0.734671209,0.020769418
-0.733612327,0.040666172
-0.712434679,0.018151424
-0.709258032,0.038397244
-0.690727591,0.015358897
-0.685433179,0.03577925
-0.669020503,0.012566371
-0.662137767,0.032986723
-0.647842855,0.009599311
-0.639371796,0.02984513
-0.627194649,0.006632251
-0.617664708,0.026703538
-0.606546443,0.003490659
-0.59595762,0.023387412
-0.58695712,0.000523599
-0.575309414,0.020071286
-0.567897237,-0.002443461
-0.555190649,0.016580628
-0.549366796,-0.005585054
-0.535601325,0.013089969
-0.531365796,-0.008552113
-0.517070884,0.009599311
-0.513894237,-0.011519173
-0.499069884,0.006108652
-0.49748156,-0.0143117
-0.482127766,0.002617994
-0.481068884,-0.017104227
-0.465715089,-0.019896753
-0.465715089,-0.000872665
-0.450890736,-0.022514747
-0.449831854,-0.00418879
-0.436066383,-0.024958208
-0.435007501,-0.007504916
-0.422830354,-0.027401669
-0.420712589,-0.010646508
-0.409594324,-0.029670597
-0.40747656,-0.013788101
-0.396887736,-0.031939525
-0.394769971,-0.016929694
-0.38524003,-0.03403392
-0.383122265,-0.019722221
-0.374121765,-0.035953783
-0.372004001,-0.022514747
-0.363532942,-0.037873645
-0.361415177,-0.025307274
-0.353473559,-0.039444441
-0.351885236,-0.027925268
-0.344473059,-0.040840704
-0.342884736,-0.030368729
-0.337060883,-0.042236968
-0.334943118,-0.032637657
-0.329648706,-0.043284165
-0.327530941,-0.034732052
-0.323824853,-0.04415683
-0.320648206,-0.036826447
-0.318530441,-0.044854962
-0.314824353,-0.038746309
-0.313765471,-0.045378561
-0.310059382,-0.045902159
-0.310059382,-0.040317106
-0.307412177,-0.046076692
-0.306353294,-0.041713369
-0.305294412,-0.046251225
-0.303706088,-0.046251225
-0.303706088,-0.0429351
-0.302647206,-0.046425758
-0.301588324,-0.046251225
-0.301588324,-0.043982297
-0.301058882,-0.046251225
-0.300529441,-0.046251225
-0.300529441,-0.046251225
-0.300529441,-0.044680429
-0.3,-0.046251225
-0.3,-0.046251225
-0.3,-0.046251225
-0.3,-0.046251225
-0.3,-0.046251225
-0.3,-0.046251225
-0.3,-0.046251225
-0.3,-0.045029495
-0.3,-0.045378561
