input,output
-1.147,-0.592539281
-1.095,-0.522726111
-1.046,-0.416261027
-1.024,-0.400553063
-0.954,-0.278380016
-0.947,-0.24521876
-0.856,-0.117809725
-0.85,-0.084648469
-0.763,0.028797933
-0.756,0.056723201
-0.674,0.154461639
-0.668,0.180641578
-0.593,0.262672052
-0.587,0.285361333
-0.519,0.353429174
-0.514,0.372627795
-0.455,0.428478331
-0.451,0.444186295
-0.401,0.487819526
-0.397,0.500036831
-0.358,0.533198086
-0.355,0.541924733
-0.326,0.564614013
-0.324,0.57159533
-0.307,0.585557964
-0.306,0.587303293
-0.3,0.592539281

