input,output
-1.147,1.27938E-06
-1.146788224,1.27057E-06
-1.145623453,1.29718E-06
-1.145146956,1.27057E-06
-1.142605638,1.32739E-06
-1.142182085,1.27938E-06
-1.137893612,1.36773E-06
-1.137893612,1.2942E-06
-1.132334479,1.31826E-06
-1.131540318,1.41906E-06
-1.125292912,1.35519E-06
-1.1235987,1.48252E-06
-1.116610076,1.39959E-06
-1.114068759,1.55597E-06
-1.105915364,1.45881E-06
-1.103003438,1.64059E-06
-1.093685273,1.52757E-06
-1.090455682,1.74181E-06
-1.080025691,1.61065E-06
-1.076478435,1.85353E-06
-1.064989561,1.70608E-06
-1.061071696,1.98153E-06
-1.048576885,1.81552E-06
-1.044341355,2.12324E-06
-1.030893549,1.94089E-06
-1.026340355,2.28034E-06
-1.011992499,2.07491E-06
-1.00712164,2.45471E-06
-0.991926678,2.22844E-06
-0.986791099,2.64241E-06
-0.970801975,2.39883E-06
-0.965454619,2.84446E-06
-0.948724278,2.58226E-06
-0.943165146,3.06902E-06
-0.925799475,2.77971E-06
-0.920187398,3.3037E-06
-0.902715839,2.99226E-06
-0.896997875,3.54813E-06
-0.879367483,3.21366E-06
-0.873649519,3.80189E-06
-0.855807351,3.4435E-06
-0.850301163,4.05509E-06
-0.831929554,3.68978E-06
-0.826899862,4.32514E-06
-0.807628204,3.95367E-06
-0.803604451,4.60257E-06
-0.782797412,4.22669E-06
-0.780467871,4.88652E-06
-0.757966621,4.51856E-06
-0.75743718,5.16416E-06
-0.734671209,5.45758E-06
-0.733612327,4.80839E-06
-0.712434679,5.74116E-06
-0.709258032,5.10505E-06
-0.690727591,6.03949E-06
-0.685433179,5.40754E-06
-0.669020503,6.32412E-06
-0.662137767,5.71479E-06
-0.647842855,6.62217E-06
-0.639371796,6.0256E-06
-0.627194649,6.9024E-06
-0.617664708,6.32412E-06
-0.606546443,7.19449E-06
-0.59595762,6.63743E-06
-0.58695712,7.4817E-06
-0.575309414,6.93426E-06
-0.567897237,7.76247E-06
-0.555190649,7.24436E-06
-0.549366796,8.03526E-06
-0.535601325,7.53356E-06
-0.531365796,8.29851E-06
-0.517070884,7.8343E-06
-0.513894237,8.57038E-06
-0.499069884,8.12831E-06
-0.49748156,8.8308E-06
-0.482127766,8.3946E-06
-0.481068884,9.07821E-06
-0.465715089,9.31108E-06
-0.465715089,8.66962E-06
-0.450890736,9.54993E-06
-0.449831854,8.93305E-06
-0.436066383,9.77237E-06
-0.435007501,9.2045E-06
-0.422830354,0.00001
-0.420712589,9.44061E-06
-0.409594324,1.02094E-05
-0.40747656,9.68278E-06
-0.396887736,1.03992E-05
-0.394769971,9.90832E-06
-0.38524003,1.05925E-05
-0.383122265,1.01158E-05
-0.374121765,1.07647E-05
-0.372004001,1.03276E-05
-0.363532942,1.09396E-05
-0.361415177,1.05196E-05
-0.353473559,1.10917E-05
-0.351885236,1.07152E-05
-0.344473059,1.1246E-05
-0.342884736,1.08893E-05
-0.337060883,1.13763E-05
-0.334943118,1.10408E-05
-0.329648706,1.14815E-05
-0.327530941,1.11944E-05
-0.323824853,1.15611E-05
-0.320648206,1.13501E-05
-0.318530441,1.16413E-05
-0.314824353,1.14551E-05
-0.313765471,1.1722E-05
-0.310059382,1.17761E-05
-0.310059382,1.15611E-05
-0.307412177,1.18032E-05
-0.306353294,1.16681E-05
-0.305294412,1.18304E-05
-0.303706088,1.18577E-05
-0.303706088,1.1722E-05
-0.302647206,1.18577E-05
-0.301588324,1.18577E-05
-0.301588324,1.17761E-05
-0.301058882,1.18577E-05
-0.300529441,1.18577E-05
-0.300529441,1.18577E-05
-0.300529441,1.18304E-05
-0.3,1.18577E-05
-0.3,1.18577E-05
-0.3,1.18577E-05
-0.3,1.18577E-05
-0.3,1.18577E-05
-0.3,1.18577E-05
-0.3,1.18577E-05
-0.3,1.18304E-05
-0.3,1.18577E-05
