input,output
-1.147,1.45211E-06
-1.095,1.46555E-06
-1.046,1.50661E-06
-1.024,1.51356E-06
-0.954,1.59956E-06
-0.947,1.62555E-06
-0.856,1.77828E-06
-0.85,1.8197E-06
-0.763,2.02768E-06
-0.756,2.0797E-06
-0.674,2.33346E-06
-0.668,2.39332E-06
-0.593,2.68534E-06
-0.587,2.75423E-06
-0.519,3.06196E-06
-0.514,3.14051E-06
-0.455,3.4435E-06
-0.451,3.5156E-06
-0.401,3.80189E-06
-0.397,3.87258E-06
-0.358,4.12098E-06
-0.355,4.1783E-06
-0.326,4.36516E-06
-0.324,4.40555E-06
-0.307,4.52898E-06
-0.306,4.54988E-06
-0.3,4.59198E-06
