input,output
1.00E-06,1.05E-01
1.01E-06,1.05E-01
1.03E-06,1.05E-01
1.06E-06,1.06E-01
1.14E-06,1.06E-01
1.28E-06,1.08E-01
1.46E-06,1.12E-01
1.64E-06,1.16E-01
1.82E-06,1.21E-01
2.00E-06,1.26E-01
2.18E-06,1.32E-01
2.36E-06,1.37E-01
2.54E-06,1.43E-01
2.72E-06,1.48E-01
2.90E-06,1.54E-01
3.08E-06,1.59E-01
3.26E-06,1.65E-01
3.44E-06,1.70E-01
3.62E-06,1.76E-01
3.80E-06,1.81E-01
3.98E-06,1.87E-01
4.16E-06,1.92E-01
4.34E-06,1.98E-01
4.52E-06,2.03E-01
4.70E-06,2.09E-01
4.88E-06,2.15E-01
5.06E-06,2.21E-01
5.24E-06,2.27E-01
5.42E-06,2.33E-01
5.60E-06,2.39E-01
5.78E-06,2.46E-01
5.96E-06,2.53E-01
6.14E-06,2.59E-01
6.32E-06,2.66E-01
6.50E-06,2.73E-01
6.68E-06,2.81E-01
6.86E-06,2.88E-01
7.04E-06,2.96E-01
7.22E-06,3.03E-01
7.40E-06,3.11E-01
7.58E-06,3.19E-01
7.76E-06,3.27E-01
7.94E-06,3.35E-01
8.12E-06,3.44E-01
8.30E-06,3.52E-01
8.48E-06,3.61E-01
8.66E-06,3.70E-01
8.84E-06,3.79E-01
9.02E-06,3.88E-01
9.20E-06,3.97E-01
9.38E-06,4.06E-01
9.56E-06,4.15E-01
9.74E-06,4.24E-01
9.87E-06,4.31E-01
1.00E-05,4.38E-01
