input,output
1.00E-06,2.81E-01
1.01E-06,2.81E-01
1.03E-06,2.81E-01
1.06E-06,2.81E-01
1.14E-06,2.83E-01
1.28E-06,2.92E-01
1.46E-06,3.15E-01
1.64E-06,3.49E-01
1.82E-06,3.94E-01
2.00E-06,4.49E-01
2.18E-06,5.14E-01
2.36E-06,5.87E-01
2.54E-06,6.66E-01
2.72E-06,7.48E-01
2.90E-06,8.31E-01
3.08E-06,9.15E-01
3.26E-06,9.97E-01
3.44E-06,1.076
3.62E-06,1.152
3.80E-06,1.222
3.98E-06,1.284
4.16E-06,1.338
4.34E-06,1.384
4.52E-06,1.423
4.70E-06,1.457
4.88E-06,1.487
5.06E-06,1.513
5.24E-06,1.536
5.42E-06,1.557
5.60E-06,1.576
5.78E-06,1.594
5.96E-06,1.609
6.14E-06,1.624
6.32E-06,1.638
6.50E-06,1.65
6.68E-06,1.663
6.86E-06,1.674
7.04E-06,1.684
7.22E-06,1.694
7.40E-06,1.704
7.58E-06,1.712
7.76E-06,1.72
7.94E-06,1.727
8.12E-06,1.733
8.30E-06,1.739
8.48E-06,1.745
8.66E-06,1.75
8.84E-06,1.754
9.02E-06,1.759
9.20E-06,1.762
9.38E-06,1.766
9.56E-06,1.769
9.74E-06,1.771
9.87E-06,1.773
1.00E-05,1.775
