input,output
1.05E-01,0.00E+00
1.05E-01,0.00E+00
1.05E-01,0.00E+00
1.06E-01,0.00E+00
1.06E-01,1.34E-03
1.08E-01,7.36E-03
1.12E-01,2.28E-02
1.16E-01,4.55E-02
1.21E-01,7.56E-02
1.26E-01,1.12E-01
1.32E-01,1.56E-01
1.37E-01,2.05E-01
1.43E-01,2.58E-01
1.48E-01,3.13E-01
1.54E-01,3.68E-01
1.59E-01,4.24E-01
1.65E-01,4.79E-01
1.70E-01,5.32E-01
1.76E-01,5.83E-01
1.81E-01,6.30E-01
1.87E-01,6.71E-01
1.92E-01,7.07E-01
1.98E-01,7.38E-01
2.03E-01,7.64E-01
2.09E-01,7.87E-01
2.15E-01,8.07E-01
2.21E-01,8.25E-01
2.27E-01,8.40E-01
2.33E-01,8.54E-01
2.39E-01,8.67E-01
2.46E-01,8.79E-01
2.53E-01,8.89E-01
2.59E-01,8.99E-01
2.66E-01,9.08E-01
2.73E-01,9.16E-01
2.81E-01,9.25E-01
2.88E-01,9.32E-01
2.96E-01,9.39E-01
3.03E-01,9.46E-01
3.11E-01,9.52E-01
3.19E-01,9.58E-01
3.27E-01,9.63E-01
3.35E-01,9.68E-01
3.44E-01,9.72E-01
3.52E-01,9.76E-01
3.61E-01,9.80E-01
3.70E-01,9.83E-01
3.79E-01,9.86E-01
3.88E-01,9.89E-01
3.97E-01,9.91E-01
4.06E-01,9.94E-01
4.15E-01,9.96E-01
4.24E-01,9.97E-01
4.31E-01,9.99E-01
4.38E-01,1.00E+00
