# strength accuracy snr enob
0.000000000000000000e+00 4.828000000000000114e+01 inf inf
1.000000000000000056e-01 4.874000000000000199e+01 1.930235290527343750e+01 2.914012193679809570e+00
2.000000000000000111e-01 4.677000000000000313e+01 1.578868865966796875e+01 2.330346822738647461e+00
3.000000000000000444e-01 4.525999999999999801e+01 1.332956790924072266e+01 1.921855092048645020e+00
4.000000000000000222e-01 4.188000000000000256e+01 1.134835433959960938e+01 1.592749834060668945e+00
5.000000000000000000e-01 3.825999999999999801e+01 9.687204360961914062e+00 1.316811323165893555e+00
6.000000000000000888e-01 3.328000000000000114e+01 8.287293434143066406e+00 1.084267973899841309e+00
7.000000000000000666e-01 2.962999999999999901e+01 7.030821323394775391e+00 8.755517601966857910e-01
8.000000000000000444e-01 2.353000000000000114e+01 5.949473381042480469e+00 6.959257721900939941e-01
9.000000000000000222e-01 1.917999999999999972e+01 4.998235225677490234e+00 5.379128456115722656e-01
1.000000000000000000e+00 1.525999999999999979e+01 4.140394210815429688e+00 3.954143226146697998e-01
