# strength accuracy snr enob
0.000000000000000000e+00 4.828000000000000114e+01 inf inf
1.000000000000000056e-01 9.800000000000000711e+00 -7.702022552490234375e+00 -1.571764588356018066e+00
2.000000000000000111e-01 9.939999999999999503e+00 -7.725955963134765625e+00 -1.575740218162536621e+00
3.000000000000000444e-01 9.880000000000000782e+00 -7.706077575683593750e+00 -1.572438120841979980e+00
4.000000000000000222e-01 9.710000000000000853e+00 -7.747178554534912109e+00 -1.579265475273132324e+00
5.000000000000000000e-01 1.000000000000000000e+01 -7.743604183197021484e+00 -1.578671813011169434e+00
6.000000000000000888e-01 9.960000000000000853e+00 -7.729421138763427734e+00 -1.576315760612487793e+00
7.000000000000000666e-01 1.013000000000000078e+01 -7.726896286010742188e+00 -1.575896382331848145e+00
8.000000000000000444e-01 9.949999999999999289e+00 -7.719833374023437500e+00 -1.574723243713378906e+00
9.000000000000000222e-01 1.008999999999999986e+01 -7.701796531677246094e+00 -1.571727037429809570e+00
1.000000000000000000e+00 9.880000000000000782e+00 -7.676010131835937500e+00 -1.567443609237670898e+00
