# strength accuracy snr enob
0.000000000000000000e+00 4.828000000000000114e+01 inf inf
1.000000000000000056e-01 4.495000000000000284e+01 1.773540687561035156e+01 2.653722047805786133e+00
2.000000000000000111e-01 3.421999999999999886e+01 1.375907135009765625e+01 1.993201136589050293e+00
3.000000000000000444e-01 2.491000000000000014e+01 1.111793422698974609e+01 1.554474115371704102e+00
4.000000000000000222e-01 1.853999999999999915e+01 9.151477813720703125e+00 1.227820158004760742e+00
5.000000000000000000e-01 1.531000000000000050e+01 7.625251293182373047e+00 9.742943048477172852e-01
6.000000000000000888e-01 1.006000000000000050e+01 6.406327247619628906e+00 7.718151211738586426e-01
7.000000000000000666e-01 1.091000000000000014e+01 5.417162895202636719e+00 6.075021624565124512e-01
8.000000000000000444e-01 1.038000000000000078e+01 4.569096565246582031e+00 4.666273295879364014e-01
9.000000000000000222e-01 1.006000000000000050e+01 3.879856586456298828e+00 3.521356582641601562e-01
1.000000000000000000e+00 1.016999999999999993e+01 3.281344175338745117e+00 2.527149915695190430e-01
