# strength accuracy snr enob
0.000000000000000000e+00 4.828000000000000114e+01 inf inf
1.000000000000000056e-01 4.089999999999999858e+01 1.390714645385742188e+01 2.017798423767089844e+00
2.000000000000000111e-01 3.286999999999999744e+01 9.519407272338867188e+00 1.288938045501708984e+00
3.000000000000000444e-01 2.317999999999999972e+01 6.330249786376953125e+00 7.591776847839355469e-01
4.000000000000000222e-01 1.664999999999999858e+01 3.786139965057373047e+00 3.365681171417236328e-01
5.000000000000000000e-01 1.384999999999999964e+01 1.762706637382507324e+00 4.496091278269886971e-04
6.000000000000000888e-01 1.300000000000000000e+01 7.715231180191040039e-02 -2.795428037643432617e-01
7.000000000000000666e-01 1.199000000000000021e+01 -1.344856142997741699e+00 -5.157567858695983887e-01
8.000000000000000444e-01 1.111999999999999922e+01 -2.561766147613525391e+00 -7.179012894630432129e-01
9.000000000000000222e-01 1.041000000000000014e+01 -3.484089612960815430e+00 -8.711112141609191895e-01
1.000000000000000000e+00 1.046000000000000085e+01 -3.996602296829223633e+00 -9.562462568283081055e-01
